Year,Date,G#,Week,Age,Tm,Opp,GS,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_Y/R,Receiving_TD,Receiving_Ctch%,Receiving_Y/Tgt,Rushing_Att,Rushing_Yds,Rushing_Y/A,Rushing_TD,Punt Returns_Ret,Punt Returns_Yds,Punt Returns_Y/R,Punt Returns_TD,Scoring_2PM,Scoring_TD,Scoring_Pts,Fumbles_Fmb,Fumbles_FL,Fumbles_FF,Fumbles_FR,Fumbles_Yds,Fumbles_TD,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Win,Score,Opp Score,Player
2012,2012-12-02,12,13,29.072,GNB,MIN,False,8,4,46,11.50,0,50.0%,5.75,0,0,,0,0,0,,0,,0,0,0,0,0,0,0,0,54,66%,0,0%,0,0%,False,True,23,14,Greg Jennings
2012,2012-12-09,13,14,29.079,GNB,DET,True,4,1,27,27.00,0,25.0%,6.75,0,0,,0,0,0,,0,,0,0,0,0,0,0,0,0,46,87%,0,0%,0,0%,False,True,27,20,Greg Jennings
2012,2012-12-16,14,15,29.086,GNB,CHI,False,7,4,50,12.50,0,57.1%,7.14,0,0,,0,0,0,,0,,0,0,0,0,0,0,0,0,64,86%,0,0%,0,0%,True,True,21,13,Greg Jennings
2012,2012-12-23,15,16,29.093,GNB,TEN,True,9,7,45,6.43,1,77.8%,5.00,0,0,,0,0,0,,0,,1,6,0,0,0,0,0,0,64,82%,0,0%,0,0%,False,True,55,7,Greg Jennings
2012,2012-12-30,16,17,29.100,GNB,MIN,True,12,8,120,15.00,2,66.7%,10.00,0,0,,0,0,0,,0,,2,12,0,0,0,0,0,0,62,97%,0,0%,0,0%,True,False,34,37,Greg Jennings
2013,2013-09-08,1,1,29.352,MIN,DET,True,7,3,33,11.00,0,42.9%,4.71,0,0,,0,0,0,,0,,0,0,0,0,0,0,0,0,47,85%,0,0%,0,0%,True,False,24,34,Greg Jennings
2013,2013-09-15,2,2,29.359,MIN,CHI,True,6,5,84,16.80,0,83.3%,14.00,0,0,,0,0,0,,0,,0,0,0,0,0,0,0,0,54,84%,0,0%,0,0%,True,False,30,31,Greg Jennings
2013,2013-09-22,3,3,30.001,MIN,CLE,True,6,3,43,14.33,0,50.0%,7.17,0,0,,0,0,0,,0,,0,0,0,0,0,0,0,0,65,82%,0,0%,0,0%,False,False,27,31,Greg Jennings
2013,2013-09-29,4,4,30.008,MIN,PIT,True,4,3,92,30.67,2,75.0%,23.00,0,0,,0,0,0,,0,,2,12,0,0,0,0,0,0,36,69%,0,0%,0,0%,False,True,34,27,Greg Jennings
2013,2013-10-13,5,6,30.022,MIN,CAR,True,10,6,34,5.67,0,60.0%,3.40,0,0,,0,0,0,,0,,0,0,0,0,0,0,0,0,53,85%,0,0%,0,0%,False,False,10,35,Greg Jennings
